,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volumn,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1,2021-01-05 11:00:00,32099.97000000,34360.00000000,31763.23000000,33949.53000000,42718.98379100,1609891199999,1428513209.16139478,891691,21971.96711100,734868600.89649067
2,2021-01-05 19:00:00,33949.53000000,35766.58000000,33288.00000000,34676.40000000,41932.31886900,1609919999999,1447592684.05609512,792594,22019.71126300,761180398.14371177
0,2021-01-06 03:00:00,34666.80000000,35200.00000000,33357.90000000,34566.19000000,39707.36250600,1609948799999,1369280028.94822415,854982,18934.30543500,653240021.17266658
1,2021-01-06 11:00:00,34566.18000000,36939.21000000,34280.00000000,36769.36000000,45499.51993500,1609977599999,1615081535.51529512,944207,22098.89795400,785212050.90517056
2,2021-01-06 19:00:00,36769.36000000,37700.80000000,36422.71000000,36859.85000000,35977.42878400,1610006399999,1334957550.66197727,773148,17345.89119100,643864826.10287417
0,2021-01-07 03:00:00,36863.04000000,38970.42000000,36300.00000000,38970.42000000,39859.67039500,1610035199999,1505913506.07450271,818460,19239.55749400,727264520.19171127
1,2021-01-07 11:00:00,38970.41000000,40365.00000000,36500.00000000,39432.28000000,56988.60125800,1610063999999,2221698886.64689158,1223078,28469.65845100,1111453893.56191162
2,2021-01-07 19:00:00,39432.48000000,39699.87000000,36500.00000000,38930.55000000,41241.61062700,1610092799999,1578706594.02569941,850398,18545.55943100,710257303.53724781
0,2021-01-08 03:00:00,38929.56000000,41950.00000000,38222.00000000,40829.08000000,56562.17708900,1610121599999,2298736619.98326906,1120422,28348.65254200,1152290278.93767525
1,2021-01-08 11:00:00,40829.07000000,41600.00000000,38652.00000000,40582.81000000,41986.16978300,1610150399999,1690999994.72239690,954812,20405.94324300,822427863.50398191
2,2021-01-08 19:00:00,40586.96000000,40976.13000000,38720.00000000,39638.61000000,26339.84550400,1610179199999,1049857727.44209442,689992,13179.89530200,525533914.98766806
0,2021-01-09 03:00:00,39639.21000000,41380.00000000,39290.86000000,40525.15000000,28331.82955100,1610207999999,1151469336.59103345,734361,14306.05109700,581486311.51808079
1,2021-01-09 11:00:00,40525.16000000,40880.00000000,39869.00000000,40088.22000000,21114.30462000,1610236799999,853451965.12864882,573803,9521.37551000,384970479.04595023
2,2021-01-09 19:00:00,40088.22000000,41350.00000000,40050.00000000,40978.57000000,20997.29684400,1610265599999,855074407.05741739,582077,10977.85989600,447208768.37791672
0,2021-01-10 03:00:00,40978.57000000,41060.00000000,38450.00000000,39671.81000000,35971.95798700,1610294399999,1432984820.26466192,829308,15653.18986400,623392622.11408991
