,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volumn,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
0,2021-01-01 00:00:00,29220.31000000,29235.28000000,29084.11000000,29161.28000000,873.50362900,1609478999999,25463346.95444114,24030,359.70261700,10486448.20589110
1,2021-01-01 00:30:00,29161.28000000,29213.40000000,29113.80000000,29187.01000000,596.45263300,1609480799999,17401191.74991697,17770,320.14412500,9340742.08658152
2,2021-01-01 01:00:00,29187.01000000,29270.00000000,29100.00000000,29100.00000000,663.32546700,1609482599999,19367424.20954332,22430,322.16157100,9407749.06471510
3,2021-01-01 01:30:00,29100.00000000,29205.76000000,29077.32000000,29174.35000000,757.40082400,1609484399999,22078588.80864673,23970,376.98110500,10990573.69520663
4,2021-01-01 02:00:00,29174.35000000,29191.98000000,28806.54000000,29018.83000000,1729.83982400,1609486199999,50133895.47990810,34653,721.01282000,20899624.76458985
5,2021-01-01 02:30:00,29018.83000000,29100.96000000,29000.00000000,29092.83000000,650.34109400,1609487999999,18900723.61499130,18505,333.70817100,9698832.63789321
6,2021-01-01 03:00:00,29092.84000000,29178.03000000,28872.24000000,29033.90000000,1170.22345000,1609489799999,33944123.55316449,32464,574.77011000,16674981.55009081
7,2021-01-01 03:30:00,29033.93000000,29122.00000000,28931.32000000,29000.01000000,837.94228900,1609491599999,24330067.14545740,22548,447.29606000,12987466.17589508
8,2021-01-01 04:00:00,29000.01000000,29236.03000000,28970.00000000,29181.07000000,1092.37616200,1609493399999,31820958.94416961,22124,640.73968400,18669802.46547883
9,2021-01-01 04:30:00,29181.06000000,29307.73000000,29174.47000000,29202.21000000,929.67986000,1609495199999,27185553.31681639,21550,567.73789400,16602914.88676383
10,2021-01-01 05:00:00,29202.21000000,29344.97000000,29152.88000000,29221.71000000,1114.27812600,1609496999999,32601116.56939804,24687,603.55111700,17658536.97764287
11,2021-01-01 05:30:00,29221.70000000,29311.00000000,29200.01000000,29223.82000000,829.97771500,1609498799999,24280807.30665920,22096,410.98720200,12024490.84135565
12,2021-01-01 06:00:00,29223.82000000,29375.96000000,29212.44000000,29366.35000000,1290.24742800,1609500599999,37813571.87417180,27546,695.19782000,20376541.67314850
13,2021-01-01 06:30:00,29368.93000000,29402.57000000,29238.49000000,29313.49000000,1018.98028900,1609502399999,29867337.53810635,22337,613.81499600,17994955.92694133
14,2021-01-01 07:00:00,29313.49000000,29448.00000000,29186.63000000,29443.65000000,1119.54677000,1609504199999,32834332.08411880,26408,599.71023000,17594055.80218603
15,2021-01-01 07:30:00,29443.65000000,29600.00000000,29150.00000000,29233.49000000,3072.36839100,1609505999999,90419506.15205230,56437,1733.59652300,51055141.39042132
16,2021-01-01 08:00:00,29233.49000000,29420.00000000,29200.00000000,29389.36000000,1225.47501000,1609507799999,35945223.19137693,27827,591.31266900,17347656.39853495
17,2021-01-01 08:30:00,29389.36000000,29470.00000000,29354.70000000,29464.79000000,985.82328000,1609509599999,29007388.98705454,23593,511.09143100,15037948.38654339
18,2021-01-01 09:00:00,29464.79000000,29530.00000000,29356.05000000,29415.94000000,1497.12829500,1609511399999,44077975.53659361,33538,739.11238800,21762925.45711608
19,2021-01-01 09:30:00,29415.95000000,29440.12000000,29266.15000000,29327.84000000,1115.54387500,1609513199999,32746386.99705171,29803,512.69632100,15050286.64147619
20,2021-01-01 10:00:00,29327.83000000,29391.00000000,29223.00000000,29297.04000000,1251.69247900,1609514999999,36692571.79823257,35617,659.25600200,19326331.11113432
21,2021-01-01 10:30:00,29297.03000000,29297.04000000,29030.14000000,29188.67000000,1527.37141500,1609516799999,44539430.68942422,36349,603.32415100,17595772.02020818
22,2021-01-01 11:00:00,29188.67000000,29325.00000000,29125.00000000,29277.11000000,863.65672000,1609518599999,25245330.80164365,23634,464.89858400,13589777.50428680
23,2021-01-01 11:30:00,29277.11000000,29360.00000000,29249.23000000,29300.57000000,626.67276400,1609520399999,18365061.07289753,17952,309.41389300,9067766.18205812
24,2021-01-01 12:00:00,29300.79000000,29339.76000000,29230.00000000,29277.25000000,678.96773700,1609522199999,19886095.63042447,18293,296.42519200,8681203.97859029
25,2021-01-01 12:30:00,29277.24000000,29277.24000000,28937.00000000,29079.64000000,1826.00936200,1609523999999,53137344.70490661,39717,722.69285900,21034284.83753671
26,2021-01-01 13:00:00,29077.59000000,29259.98000000,28984.85000000,29021.88000000,1408.47239000,1609525799999,41044246.10059408,33952,653.77712700,19055078.25664220
27,2021-01-01 13:30:00,29021.88000000,29103.18000000,28624.57000000,29072.70000000,2817.95765100,1609527599999,81436319.64249854,54904,1147.76490500,33181726.16694630
28,2021-01-01 14:00:00,29072.70000000,29125.31000000,28950.00000000,29055.08000000,999.78578100,1609529399999,29026336.92922736,28452,453.47909200,13166877.74188139
29,2021-01-01 14:30:00,29055.08000000,29125.32000000,29002.10000000,29029.04000000,629.44294000,1609531199999,18298391.35438333,20586,298.56592300,8680715.26308196
30,2021-01-01 15:00:00,29029.04000000,29245.17000000,28880.37000000,29212.62000000,1139.46515300,1609532999999,33173807.71346387,29715,593.66862300,17286305.79125238
31,2021-01-01 15:30:00,29212.62000000,29279.72000000,29146.60000000,29200.96000000,699.08392900,1609534799999,20416290.42542161,23234,366.56034000,10706346.05618976
