,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volumn,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
0,2021-01-01 03:00:00,737.37000000,741.76000000,725.10000000,738.85000000,128108.21447000,1609502399999,94014242.53803690,97917,62143.49657000,45617214.70264840
1,2021-01-01 07:00:00,738.85000000,743.33000000,732.12000000,735.39000000,121504.02184000,1609516799999,89663737.57922280,84247,65878.41968000,48628581.19514580
2,2021-01-01 11:00:00,735.39000000,737.73000000,714.29000000,725.34000000,156457.71927000,1609531199999,113798232.01604600,100467,71977.06431000,52374719.38145570
3,2021-01-01 15:00:00,725.34000000,731.97000000,722.50000000,728.91000000,65676.83838000,1609545599999,47837776.93895280,48186,33274.20651000,24238020.87656540
4,2021-01-01 19:00:00,728.91000000,734.40000000,714.91000000,730.39000000,119184.44960000,1609559999999,86463766.66700020,75165,61460.03639000,44600367.90419790
5,2021-01-01 23:00:00,730.39000000,740.49000000,726.26000000,735.12000000,97938.27713000,1609574399999,71868616.45014910,57883,50874.40167000,37344306.61455340
0,2021-01-02 03:00:00,735.12000000,738.35000000,723.01000000,729.70000000,120264.73109000,1609588799999,87831972.88494600,84102,59643.87111000,43552882.68412550
1,2021-01-02 07:00:00,729.70000000,772.80000000,728.25000000,768.43000000,428448.45842000,1609603199999,324368938.89134600,249050,226835.84775000,171655095.98380710
2,2021-01-02 11:00:00,768.45000000,787.69000000,764.50000000,784.79000000,334396.99240000,1609617599999,259913296.09737900,183503,169993.15062000,132129725.59030830
3,2021-01-02 15:00:00,784.79000000,785.48000000,750.12000000,774.56000000,252385.66804000,1609631999999,194025591.62126670,174431,117867.42588000,90633448.23449330
4,2021-01-02 19:00:00,774.44000000,781.59000000,770.59000000,772.37000000,114309.37983000,1609646399999,88725026.66994570,83454,55262.34666000,42897754.89158370
5,2021-01-02 23:00:00,772.44000000,805.74000000,768.71000000,799.78000000,285411.98757000,1609660799999,226063792.54254550,167082,150645.31535000,119374101.66860660
0,2021-01-03 03:00:00,799.74000000,832.30000000,791.50000000,829.76000000,334288.39418000,1609675199999,273481403.14856500,221265,174192.18576000,142535354.63441050
1,2021-01-03 07:00:00,829.77000000,921.73000000,826.38000000,917.72000000,698095.22416000,1609689599999,618527281.18916300,376059,361475.83881000,320098541.31212410
2,2021-01-03 11:00:00,917.95000000,978.00000000,888.93000000,921.53000000,805040.39911000,1609703999999,754876661.07581470,439147,387856.53783000,363785699.51019920
3,2021-01-03 15:00:00,921.61000000,1011.07000000,920.08000000,978.28000000,576458.50130000,1609718399999,560737695.10557580,349494,309595.57445000,301574823.57622470
4,2021-01-03 19:00:00,978.33000000,1025.81000000,954.22000000,1021.41000000,432623.86115000,1609732799999,424203777.45980960,303419,227642.75241000,223371568.98661410
5,2021-01-03 23:00:00,1021.41000000,1162.97000000,1012.00000000,1044.31000000,996550.05419000,1609747199999,1072902193.92020020,573837,512470.74069000,551739648.01746650
0,2021-01-04 03:00:00,1044.30000000,1078.93000000,890.00000000,976.80000000,1176111.38746000,1609761599999,1144304917.76406010,598643,574682.00760000,559810922.68101600
1,2021-01-04 07:00:00,976.97000000,1058.16000000,956.12000000,1040.01000000,815345.81432000,1609775999999,825886889.29644810,426507,393080.07793000,397939032.29934580
2,2021-01-04 11:00:00,1040.00000000,1048.00000000,982.05000000,1042.28000000,540996.24594000,1609790399999,546825774.07554310,340395,272481.14597000,275570578.01643510
3,2021-01-04 15:00:00,1042.16000000,1049.70000000,992.70000000,1041.43000000,283383.57698000,1609804799999,289510650.70353760,235061,145980.94750000,149207269.32831380
4,2021-01-04 19:00:00,1041.45000000,1134.60000000,995.00000000,1001.76000000,753792.30594000,1609819199999,813585476.27282040,504741,372782.01055000,402792953.87954460
5,2021-01-04 23:00:00,1001.75000000,1030.81000000,974.45000000,1003.45000000,525071.48466000,1609833599999,528194740.65751950,357063,262008.59225000,263658518.57111260
0,2021-01-05 03:00:00,1003.52000000,1050.93000000,1003.51000000,1042.21000000,324534.17389000,1609847999999,335122307.67751700,236773,160960.81760000,166217297.76686460
1,2021-01-05 07:00:00,1042.23000000,1064.00000000,1001.00000000,1052.82000000,326089.03064000,1609862399999,337526577.26897780,301860,160153.43589000,165829569.45790430
2,2021-01-05 11:00:00,1052.83000000,1108.00000000,1036.29000000,1096.33000000,458535.68236000,1609876799999,492838182.40819860,330217,223163.79435000,240058653.30262430
3,2021-01-05 15:00:00,1096.36000000,1120.00000000,1074.44000000,1099.56000000,318972.99776000,1609891199999,349782995.72310900,229849,158572.37730000,173994459.87550770
4,2021-01-05 19:00:00,1100.16000000,1110.30000000,1057.26000000,1075.49000000,272291.19258000,1609905599999,293212938.62851320,210687,134527.88502000,144890298.82190140
5,2021-01-05 23:00:00,1075.49000000,1135.02000000,1073.03000000,1106.59000000,397722.28203000,1609919999999,441456899.02830670,288071,207395.94613000,230295888.41902360
0,2021-01-06 03:00:00,1106.61000000,1166.58000000,1091.00000000,1151.88000000,427002.85506000,1609934399999,479187483.06419080,264919,227841.60698000,255961433.91982110
1,2021-01-06 07:00:00,1151.88000000,1158.96000000,1121.00000000,1143.89000000,356213.35095000,1609948799999,405448745.59008460,220700,174131.44040000,198241135.97921720
2,2021-01-06 11:00:00,1144.01000000,1208.57000000,1144.01000000,1160.78000000,514560.21454000,1609963199999,609775143.87234160,332173,266370.22747000,315801292.43013780
3,2021-01-06 15:00:00,1160.78000000,1213.00000000,1116.61000000,1208.42000000,422346.69818000,1609977599999,496180911.10507620,284338,217688.78250000,256049430.96047820
4,2021-01-06 19:00:00,1208.75000000,1224.11000000,1179.91000000,1213.17000000,276767.00381000,1609991999999,333262481.91706270,206386,139849.17382000,168480836.91612120
5,2021-01-06 23:00:00,1213.17000000,1218.04000000,1181.09000000,1186.21000000,223588.06912000,1610006399999,268883282.45637160,162163,108514.73112000,130531636.93639910
0,2021-01-07 03:00:00,1186.39000000,1205.70000000,1159.03000000,1201.12000000,239241.20032000,1610020799999,284280608.51807130,184880,118403.60127000,140793143.48220870
1,2021-01-07 07:00:00,1201.32000000,1249.98000000,1197.64000000,1249.83000000,320851.12478000,1610035199999,392230181.10010340,234838,166518.01673000,203691868.98902630
2,2021-01-07 11:00:00,1249.84000000,1289.00000000,1131.00000000,1234.14000000,647222.06056000,1610049599999,799738431.28161990,416540,308418.66943000,381819545.18463920
3,2021-01-07 15:00:00,1234.23000000,1267.33000000,1201.45000000,1224.87000000,265253.36200000,1610063999999,327824906.09530540,197892,133022.78279000,164428994.64298990
4,2021-01-07 19:00:00,1224.86000000,1233.00000000,1065.00000000,1150.10000000,457136.18423000,1610078399999,525210887.78666390,378913,206600.25615000,237739291.03879710
5,2021-01-07 23:00:00,1150.10000000,1214.27000000,1125.41000000,1208.42000000,317360.18426000,1610092799999,370551271.16331750,250686,160221.12215000,187132156.34278050
0,2021-01-08 03:00:00,1208.20000000,1270.24000000,1181.73000000,1255.43000000,340828.16003000,1610107199999,419331465.18533720,256541,180939.45635000,222778631.55079440
1,2021-01-08 07:00:00,1255.24000000,1273.75000000,1171.72000000,1216.77000000,412593.06251000,1610121599999,508882081.47224070,292765,196352.92822000,242426549.60629710
2,2021-01-08 11:00:00,1216.93000000,1242.18000000,1173.00000000,1184.75000000,287616.62425000,1610135999999,347371846.58852590,252066,139308.53437000,168335863.46756560
3,2021-01-08 15:00:00,1184.75000000,1229.69000000,1135.51000000,1216.93000000,315638.70813000,1610150399999,372079900.38404030,287846,159466.80785000,188206805.41360470
4,2021-01-08 19:00:00,1216.72000000,1234.67000000,1171.36000000,1226.53000000,256010.80317000,1610164799999,307994417.47961950,217913,127769.22252000,153817666.31905290
5,2021-01-08 23:00:00,1226.53000000,1227.49000000,1173.65000000,1196.49000000,195105.52631000,1610179199999,233472573.37231950,182054,95170.88244000,113894901.79331930
0,2021-01-09 03:00:00,1196.50000000,1237.00000000,1184.64000000,1220.64000000,216546.78765000,1610193599999,263154202.80324330,155860,109022.05441000,132531683.36403480
1,2021-01-09 07:00:00,1220.65000000,1235.50000000,1207.29000000,1219.95000000,182191.76916000,1610207999999,222805937.67799990,136211,89036.80661000,108923415.77620940
2,2021-01-09 11:00:00,1219.96000000,1235.69000000,1194.08000000,1229.42000000,193868.19879000,1610222399999,236080649.86686980,138167,101666.14054000,123905924.05830400
3,2021-01-09 15:00:00,1229.33000000,1304.37000000,1217.54000000,1276.00000000,405148.03006000,1610236799999,516629595.21641750,301666,223704.59028000,285259539.45740970
4,2021-01-09 19:00:00,1276.00000000,1340.98000000,1273.82000000,1310.97000000,318325.25142000,1610251199999,418088102.79919130,219811,169897.50696000,223334865.89733080
5,2021-01-09 23:00:00,1310.91000000,1345.69000000,1305.74000000,1344.70000000,185032.87094000,1610265599999,245040456.15889890,150200,93937.29406000,124470649.73393630
0,2021-01-10 03:00:00,1344.77000000,1348.33000000,1257.60000000,1259.28000000,340055.23108000,1610279999999,445452932.38658760,250212,164513.46000000,215730687.09326600
1,2021-01-10 07:00:00,1259.28000000,1323.71000000,1237.00000000,1303.18000000,308278.58018000,1610294399999,398560336.07316890,233945,158595.03647000,205263145.80367580
2,2021-01-10 11:00:00,1303.40000000,1325.00000000,1248.59000000,1263.17000000,362908.80802000,1610308799999,467336001.17217150,262033,180519.21007000,232699629.53310930
3,2021-01-10 15:00:00,1263.32000000,1287.51000000,1170.00000000,1254.25000000,436578.60839000,1610323199999,543314023.81774390,321285,212329.79780000,264704597.03396870
4,2021-01-10 19:00:00,1254.24000000,1260.00000000,1010.91000000,1104.14000000,631801.97474000,1610337599999,728856900.14623960,455539,287389.88338000,332346483.40407490
5,2021-01-10 23:00:00,1105.02000000,1133.87000000,1011.10000000,1071.84000000,720369.03247000,1610351999999,775809060.05779030,459997,353833.83166000,381350400.69855720
0,2021-01-11 03:00:00,1071.98000000,1149.99000000,1063.00000000,1067.87000000,503363.61135000,1610366399999,556663788.31408220,330588,244806.24940000,270782830.85297510
1,2021-01-11 07:00:00,1067.65000000,1103.12000000,950.00000000,977.21000000,869009.99081000,1610380799999,895210142.26742840,505174,409767.93870000,422902377.58285670
2,2021-01-11 11:00:00,977.21000000,1024.00000000,915.00000000,984.41000000,883171.42096000,1610395199999,857978778.83669460,516327,434773.59648000,422735598.40287750
3,2021-01-11 15:00:00,984.15000000,1094.00000000,958.00000000,1087.01000000,461068.62645000,1610409599999,476075319.95794180,289988,235644.69802000,243440578.99867120
4,2021-01-11 19:00:00,1087.00000000,1091.36000000,1038.34000000,1088.52000000,339890.45246000,1610423999999,362045119.37059080,245213,174863.04191000,186324008.14245310
5,2021-01-11 23:00:00,1088.72000000,1150.02000000,1076.25000000,1139.05000000,362239.29376000,1610438399999,405938339.63337670,247568,191148.98274000,214296750.69185290
0,2021-01-12 03:00:00,1139.25000000,1144.11000000,1065.95000000,1099.16000000,429916.10678000,1610452799999,473930304.58670680,255399,212785.33500000,234662158.33109620
1,2021-01-12 07:00:00,1099.15000000,1111.54000000,1006.33000000,1053.34000000,574695.85580000,1610467199999,605489067.06755350,304576,281915.41035000,296942551.80815630
2,2021-01-12 11:00:00,1053.54000000,1126.88000000,1052.79000000,1082.76000000,349691.07608000,1610481599999,383227640.55833830,263369,171317.37286000,187786508.13368810
3,2021-01-12 15:00:00,1082.76000000,1088.25000000,1025.00000000,1050.16000000,246212.55564000,1610495999999,260436621.29356110,200500,117827.86205000,124650169.17803420
4,2021-01-12 19:00:00,1050.36000000,1059.66000000,987.48000000,1046.72000000,401920.25192000,1610510399999,411963063.88866500,258251,192519.69053000,197545493.89469650
5,2021-01-12 23:00:00,1046.72000000,1080.75000000,1010.79000000,1076.35000000,228998.34353000,1610524799999,238851212.76950960,173684,116707.49561000,121751787.01201980
0,2021-01-13 03:00:00,1076.33000000,1096.64000000,1053.79000000,1061.60000000,275185.64194000,1610539199999,295265024.97150030,187446,139028.45474000,149208697.38331440
1,2021-01-13 07:00:00,1061.64000000,1084.00000000,1045.07000000,1071.50000000,203460.13647000,1610553599999,216213405.03572590,155014,104366.72102000,110904241.24273190
2,2021-01-13 11:00:00,1071.14000000,1109.78000000,1060.78000000,1102.08000000,217411.59435000,1610567999999,236645904.10428610,159457,113898.41676000,124052958.01884930
3,2021-01-13 15:00:00,1102.02000000,1137.65000000,1091.25000000,1129.89000000,237226.42260000,1610582399999,265240358.30411750,190131,126294.02703000,141193640.67392500
4,2021-01-13 19:00:00,1129.79000000,1147.97000000,1091.02000000,1096.39000000,232428.00407000,1610596799999,260962663.10657420,175942,118886.51921000,133638233.47914740
5,2021-01-13 23:00:00,1096.39000000,1162.57000000,1086.70000000,1148.00000000,244121.19684000,1610611199999,274990729.82598310,177618,130559.17254000,147149461.92181190
0,2021-01-14 03:00:00,1147.85000000,1174.73000000,1141.78000000,1166.59000000,239439.34481000,1610625599999,277646473.55316610,179816,119940.21295000,139129777.19570370
1,2021-01-14 07:00:00,1166.48000000,1220.63000000,1147.51000000,1212.80000000,330253.14759000,1610639999999,393594915.16670800,247039,171090.62734000,203954727.29182750
2,2021-01-14 11:00:00,1212.99000000,1247.55000000,1203.20000000,1231.53000000,279222.47659000,1610654399999,343099028.35740990,249977,142526.14447000,175165393.76122050
3,2021-01-14 15:00:00,1231.20000000,1235.84000000,1163.68000000,1231.62000000,230273.21566000,1610668799999,275567104.16395420,225377,111403.28792000,133417110.45165800
4,2021-01-14 19:00:00,1231.89000000,1256.98000000,1201.00000000,1219.07000000,261526.78997000,1610683199999,323332209.12269370,258698,135230.27735000,167260063.55375100
5,2021-01-14 23:00:00,1219.08000000,1242.99000000,1175.41000000,1240.97000000,278007.05622000,1610697599999,336314763.91396780,218334,143902.11913000,174271872.56927460
0,2021-01-15 03:00:00,1240.99000000,1247.88000000,1205.00000000,1226.12000000,208874.90779000,1610711999999,256525867.78925710,182100,106034.79542000,130244645.90870060
1,2021-01-15 07:00:00,1226.28000000,1230.64000000,1126.44000000,1141.52000000,433661.50301000,1610726399999,517555599.50037350,294747,199585.45098000,238354810.22024580
2,2021-01-15 11:00:00,1141.66000000,1175.34000000,1069.42000000,1133.74000000,570819.55179000,1610740799999,650292920.01440570,382993,285017.35516000,325032073.45789640
3,2021-01-15 15:00:00,1133.75000000,1175.08000000,1111.52000000,1168.53000000,191149.02860000,1610755199999,218759758.61804160,182394,96348.73477000,110354558.78136380
4,2021-01-15 19:00:00,1168.48000000,1198.10000000,1157.77000000,1179.34000000,200202.60126000,1610769599999,236369850.69552390,167013,102378.06380000,120916981.31848890
5,2021-01-15 23:00:00,1179.23000000,1189.76000000,1151.77000000,1182.90000000,164701.47717000,1610783999999,193421203.08243650,133976,83989.78032000,98666078.28680070
0,2021-01-16 03:00:00,1182.88000000,1225.52000000,1177.00000000,1219.00000000,254743.79593000,1610798399999,308469165.85711290,197849,135151.85300000,163671453.68858270
