,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volumn,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2,2021-01-08 19:00:00,1216.72000000,1234.67000000,1171.36000000,1196.49000000,451116.32948000,1610179199999,541466990.85193900,399967,222940.10496000,267712568.11237220
0,2021-01-09 03:00:00,1196.50000000,1237.00000000,1184.64000000,1219.95000000,398738.55681000,1610207999999,485960140.48124320,292071,198058.86102000,241455099.14024420
1,2021-01-09 11:00:00,1219.96000000,1304.37000000,1194.08000000,1276.00000000,599016.22885000,1610236799999,752710245.08328730,439833,325370.73082000,409165463.51571370
2,2021-01-09 19:00:00,1276.00000000,1345.69000000,1273.82000000,1344.70000000,503358.12236000,1610265599999,663128558.95809020,370011,263834.80102000,347805515.63126710
0,2021-01-10 03:00:00,1344.77000000,1348.33000000,1237.00000000,1303.18000000,648333.81126000,1610294399999,844013268.45975650,484157,323108.49647000,420993832.89694180
1,2021-01-10 11:00:00,1303.40000000,1325.00000000,1170.00000000,1254.25000000,799487.41641000,1610323199999,1010650024.98991540,583318,392849.00787000,497404226.56707800
2,2021-01-10 19:00:00,1254.24000000,1260.00000000,1010.91000000,1071.84000000,1352171.00721000,1610351999999,1504665960.20402990,915536,641223.71504000,713696884.10263210
0,2021-01-11 03:00:00,1071.98000000,1149.99000000,950.00000000,977.21000000,1372373.60216000,1610380799999,1451873930.58151060,835762,654574.18810000,693685208.43583180
1,2021-01-11 11:00:00,977.21000000,1094.00000000,915.00000000,1087.01000000,1344240.04741000,1610409599999,1334054098.79463640,806315,670418.29450000,666176177.40154870
2,2021-01-11 19:00:00,1087.00000000,1150.02000000,1038.34000000,1139.05000000,702129.74622000,1610438399999,767983459.00396750,492781,366012.02465000,400620758.83430600
0,2021-01-12 03:00:00,1139.25000000,1144.11000000,1006.33000000,1053.34000000,1004611.96258000,1610467199999,1079419371.65426030,559975,494700.74535000,531604710.13925250
1,2021-01-12 11:00:00,1053.54000000,1126.88000000,1025.00000000,1050.16000000,595903.63172000,1610495999999,643664261.85189940,463869,289145.23491000,312436677.31172230
2,2021-01-12 19:00:00,1050.36000000,1080.75000000,987.48000000,1076.35000000,630918.59545000,1610524799999,650814276.65817460,431935,309227.18614000,319297280.90671630
0,2021-01-13 03:00:00,1076.33000000,1096.64000000,1045.07000000,1071.50000000,478645.77841000,1610553599999,511478430.00722620,342460,243395.17576000,260112938.62604630
1,2021-01-13 11:00:00,1071.14000000,1137.65000000,1060.78000000,1129.89000000,454638.01695000,1610582399999,501886262.40840360,349588,240192.44379000,265246598.69277430
